age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,threshold
17,0,0,4,0,3,4,1,0,0,40,0
17,4,2,4,6,3,4,1,0,0,35,0
17,4,1,4,12,3,4,0,0,0,40,0
17,4,1,4,12,3,4,0,0,0,35,0
17,4,1,4,5,3,4,1,0,0,40,0
17,4,11,4,5,3,2,1,0,0,40,0
17,4,1,4,6,3,4,1,0,0,40,0
17,4,0,4,8,3,4,1,0,0,40,0
17,0,1,4,0,3,4,0,0,0,45,0
17,2,0,4,11,3,4,0,0,1602,40,0
17,4,5,4,5,2,3,1,0,0,40,0
17,0,11,4,0,3,2,1,0,0,40,0
17,4,2,4,8,3,4,1,0,0,35,0
17,4,0,4,8,3,4,1,0,0,40,0
17,2,1,4,10,3,4,0,0,0,40,0
17,0,1,4,0,3,4,1,0,0,40,0
17,0,2,4,0,3,4,1,0,0,40,0
17,4,6,4,8,1,4,1,0,0,50,0
17,4,0,3,8,2,4,1,0,0,40,0
17,0,2,4,0,3,3,0,0,0,40,0
17,0,0,4,0,3,4,1,0,0,40,0
17,4,0,4,8,3,4,0,0,0,40,0
17,0,1,4,0,3,4,1,0,0,50,0
17,4,11,4,8,2,4,1,0,0,35,0
17,4,6,4,6,2,4,1,0,0,40,0
18,6,11,4,12,3,4,1,0,0,48,0
18,4,11,4,3,3,4,1,0,0,40,0
18,6,11,4,5,3,1,1,0,0,40,0
18,4,0,4,8,3,0,0,0,0,40,0
18,0,0,4,0,3,2,1,0,0,40,0
18,4,15,4,1,3,4,0,0,0,40,0
18,4,1,4,8,3,4,1,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,4,15,4,11,3,4,0,0,0,40,0
18,0,0,4,0,3,4,1,0,0,40,0
18,0,11,6,0,3,4,1,0,0,40,0
18,6,1,4,12,3,4,0,0,0,40,0
18,4,11,4,8,3,4,0,0,0,40,0
18,4,11,4,12,3,4,0,0,0,33,0
18,6,0,4,3,3,4,1,0,0,40,0
18,0,2,4,0,3,4,0,0,0,40,0
18,4,1,4,1,4,4,1,0,0,40,0
18,4,4,4,6,3,4,1,0,0,40,0
18,7,11,4,1,3,4,1,0,0,40,0
18,7,15,4,8,1,4,0,0,0,40,0
18,4,11,4,4,2,4,0,0,0,40,0
18,4,11,4,1,3,4,0,0,0,40,0
18,4,0,4,12,2,2,0,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,4,11,4,12,3,4,0,0,0,33,0
18,4,6,4,6,3,4,1,594,0,40,0
18,4,11,4,12,3,4,0,0,0,40,0
18,4,2,4,9,3,4,1,0,0,40,0
18,4,11,4,8,1,4,0,0,0,35,0
18,4,15,4,8,3,4,0,0,0,40,0
18,4,2,4,1,3,4,1,0,0,40,0
18,0,15,4,0,3,4,1,0,0,45,0
18,6,11,2,8,5,4,0,0,0,40,0
18,4,11,4,12,3,4,1,0,0,40,0
18,4,0,4,8,2,4,0,0,0,40,0
18,4,5,4,8,2,1,0,0,0,40,0
18,4,11,2,12,5,4,0,0,0,36,0
18,4,15,4,8,3,4,1,0,0,40,0
18,4,15,4,12,3,2,1,0,0,35,0
18,4,11,4,3,3,4,1,0,0,40,0
18,4,1,4,12,3,4,0,0,0,49,0
18,4,1,2,3,0,4,1,0,0,40,0
18,2,11,4,1,3,4,0,0,0,40,0
18,6,1,4,3,3,4,1,0,0,40,0
18,4,2,4,7,3,2,0,0,0,40,0
18,4,15,4,1,3,4,0,0,0,38,0
18,0,15,4,0,3,4,0,0,0,40,0
18,4,11,4,1,1,4,0,0,0,40,0
18,0,15,4,0,3,4,0,0,0,40,0
18,4,15,4,8,3,4,0,0,0,40,0
18,0,2,4,0,3,3,1,0,0,40,0
18,0,11,4,0,1,4,0,0,0,40,0
18,2,5,4,5,3,4,1,0,0,40,0
18,4,15,4,12,3,4,0,0,0,35,0
18,6,11,4,5,3,4,1,0,0,40,0
18,4,1,4,10,3,4,1,0,0,40,0
18,4,1,4,12,3,4,0,0,0,40,0
18,4,1,4,8,3,4,1,0,0,40,0
18,4,1,4,6,1,4,1,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,4,1,4,6,1,2,1,0,0,40,0
18,4,6,4,8,3,2,1,0,0,35,0
18,4,11,4,7,3,4,0,0,0,48,0
18,4,11,4,7,1,4,1,0,0,40,0
18,4,11,4,3,3,4,1,0,0,40,0
18,6,0,4,5,3,4,1,0,0,40,0
18,4,11,4,12,1,4,0,0,1721,40,0
18,4,11,4,12,3,4,1,0,0,35,0
18,4,11,4,7,3,4,1,0,0,40,0
18,4,15,4,4,1,4,1,0,0,50,0
18,4,11,4,1,3,4,0,0,0,40,0
18,4,1,4,8,3,4,1,0,0,40,0
18,4,11,4,14,1,2,1,0,0,35,0
18,0,0,4,0,3,4,1,0,0,40,0
18,4,11,4,6,3,4,1,0,0,40,0
18,0,11,4,0,3,4,0,0,0,35,0
18,0,15,4,0,3,4,0,0,0,40,0
18,4,11,4,7,2,4,0,0,0,40,0
18,4,15,4,8,3,2,1,0,0,35,0
18,2,0,4,3,3,2,1,0,0,40,0
18,4,0,4,8,3,4,1,0,0,40,0
18,4,0,4,7,3,4,1,0,0,40,0
18,7,11,4,1,3,4,0,0,0,40,0
18,4,1,4,6,3,4,1,0,0,40,0
18,0,2,4,0,3,4,0,0,0,40,0
18,6,15,4,1,3,4,0,0,0,40,0
18,4,2,4,6,3,4,1,0,0,40,0
18,4,11,4,12,3,4,0,0,0,40,0
18,0,11,4,0,3,4,0,0,0,45,0
18,4,1,4,6,3,4,1,0,0,40,0
18,0,11,4,0,3,4,0,0,0,35,0
18,0,15,4,0,3,4,0,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,4,0,4,3,4,4,1,0,0,40,0
18,6,15,4,4,1,4,0,0,0,50,0
18,0,1,4,0,3,4,1,0,0,40,0
18,4,11,4,5,3,4,1,0,0,40,0
18,4,15,3,1,2,4,0,0,0,40,0
18,4,11,4,6,3,4,1,1055,0,40,0
18,0,1,4,0,3,4,1,0,0,36,0
18,4,1,4,3,3,4,1,0,0,35,0
18,4,11,4,1,3,4,0,0,0,40,0
18,1,11,4,6,3,4,1,0,0,50,0
18,3,1,4,0,3,4,1,0,0,35,0
18,4,6,4,7,3,4,1,0,0,40,0
18,6,15,4,3,1,4,0,0,0,35,0
18,4,11,2,4,5,4,0,0,0,40,0
18,4,15,4,8,1,4,0,0,0,40,0
18,4,5,4,8,3,4,0,0,0,40,0
18,4,15,4,12,3,4,1,0,0,35,0
18,4,11,4,7,3,4,0,0,0,40,0
18,4,2,4,11,3,4,0,0,0,45,0
18,0,1,4,0,3,2,1,0,1602,48,0
18,6,2,4,5,3,4,1,0,0,50,0
18,0,1,4,0,3,4,1,0,0,35,0
18,4,15,4,8,1,0,1,0,0,40,0
18,4,11,4,12,1,4,1,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,4,0,4,12,3,4,1,0,0,40,0
18,4,1,4,6,3,4,1,0,0,40,0
18,0,11,4,0,3,4,0,0,1602,35,0
18,4,11,2,6,0,4,1,0,0,40,0
18,0,11,2,0,0,4,1,4508,0,40,0
18,4,11,4,1,3,4,0,0,0,40,0
18,0,1,4,0,3,4,0,0,0,35,0
18,4,4,4,6,2,4,1,0,0,40,0
18,4,15,4,13,1,4,0,0,0,40,0
18,4,11,4,7,3,4,1,0,0,40,0
18,0,15,4,0,3,1,0,0,0,40,0
18,4,2,4,1,3,4,1,0,0,35,0
18,4,11,4,5,3,4,1,0,0,40,0
18,0,11,4,0,3,4,1,0,0,40,0
18,4,11,4,8,3,4,1,0,0,35,0
18,5,1,4,5,3,4,1,0,0,50,0
18,4,11,4,1,3,4,0,0,0,40,0
18,0,15,4,0,3,4,0,0,0,40,0
18,4,15,4,8,2,4,0,0,0,40,0
18,4,11,4,12,3,4,1,0,0,35,0
18,4,15,4,1,1,4,1,0,0,40,0
18,4,15,4,12,4,4,1,2176,0,40,0
18,4,11,4,12,3,2,0,0,0,40,0
18,4,15,4,1,3,4,1,0,0,50,0
18,4,11,4,1,3,4,0,0,0,40,0
18,4,11,4,11,1,4,1,0,0,40,0
18,0,15,4,0,3,4,1,0,0,40,0
18,0,15,4,0,2,4,1,0,0,40,0
18,3,0,4,0,3,4,1,0,0,40,0
18,4,1,4,7,3,0,1,0,0,40,0
18,4,1,4,12,3,4,1,0,0,35,0
18,0,15,4,0,3,4,0,0,0,40,0
18,4,15,4,8,3,4,1,0,0,37,0
18,4,1,4,3,3,4,1,0,0,40,0
18,0,1,4,0,3,4,1,0,0,40,0
18,2,2,4,11,3,4,1,0,0,40,0
18,0,1,4,0,3,4,1,0,0,40,0
18,4,5,4,7,3,4,1,0,0,40,0
18,4,6,4,12,3,4,0,0,0,42,0
18,4,11,4,6,3,4,1,0,0,40,0
18,4,11,2,9,1,4,0,3103,0,40,0
18,7,11,4,1,3,4,1,0,0,40,0
18,2,1,4,10,3,2,0,0,0,40,0
18,4,11,4,6,3,2,1,0,0,40,0
18,4,11,4,12,3,4,0,0,0,40,0
18,4,11,4,1,3,2,1,0,0,40,0
18,0,1,4,0,3,4,1,0,0,35,0
18,0,0,4,0,3,4,1,0,0,40,0
18,4,1,4,10,3,4,0,0,0,40,0
18,4,11,4,7,3,2,1,0,0,40,0
18,4,1,4,6,1,4,1,0,0,40,0
18,4,2,4,12,3,4,0,0,0,35,0
18,4,11,4,8,1,4,0,0,0,45,0
18,4,15,4,1,1,4,0,0,0,40,0
19,4,11,4,3,3,4,1,0,0,40,0
19,4,11,4,6,3,4,1,0,0,50,0
19,4,11,4,8,3,0,0,0,0,35,0
19,0,11,4,0,3,4,1,0,0,40,0
19,4,15,3,1,3,4,1,0,0,40,0
19,4,11,4,3,1,4,0,0,0,40,0
19,4,2,5,10,3,4,0,1055,0,40,0
19,4,15,4,12,3,4,0,0,0,34,0
19,0,11,2,0,5,4,0,0,0,36,0
19,4,15,4,12,3,4,0,0,0,38,0
19,4,15,4,8,1,4,1,0,0,35,0
19,4,11,4,8,4,2,1,0,0,40,0
19,4,11,4,6,3,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,11,4,12,1,1,0,0,0,40,0
19,4,11,4,5,1,4,1,0,0,40,0
19,4,15,4,4,3,4,1,0,0,40,0
19,4,15,4,1,2,2,0,0,0,38,0
19,4,15,4,12,3,4,0,0,0,40,0
19,4,11,4,3,1,4,0,0,0,40,0
19,4,11,4,12,1,4,1,0,0,45,0
19,4,15,4,8,3,2,1,0,0,35,0
19,4,11,4,8,3,1,0,0,0,40,0
19,4,3,4,6,2,4,1,0,0,52,0
19,4,15,4,1,3,4,1,0,0,40,0
19,4,11,4,7,3,4,1,0,0,40,0
19,4,11,4,8,1,4,0,0,0,35,0
19,4,1,4,6,1,4,1,0,0,40,0
19,2,1,4,6,2,4,1,0,0,35,0
19,0,15,4,0,3,4,0,0,0,35,0
19,4,11,4,12,1,4,0,0,0,40,0
19,0,15,4,0,2,4,1,0,0,40,0
19,4,6,2,14,0,4,1,0,0,40,0
19,4,0,4,3,1,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,35,0
19,4,11,4,8,1,4,0,0,0,45,0
19,7,15,4,8,3,4,0,0,0,40,0
19,4,11,4,7,2,4,1,0,0,40,0
19,4,15,4,12,3,4,1,0,0,36,0
19,4,1,4,8,3,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,11,4,12,3,4,0,0,0,35,0
19,4,11,4,1,1,4,0,0,0,40,0
19,4,15,4,5,3,4,1,0,0,50,0
19,4,11,4,4,3,4,1,0,0,40,0
19,0,11,4,0,3,4,1,0,0,44,0
19,4,11,4,12,3,4,0,0,0,40,0
19,4,0,4,12,4,2,0,0,0,40,0
19,4,11,4,14,3,4,1,2176,0,45,0
19,4,15,4,12,3,4,1,0,0,35,0
19,4,4,4,8,1,4,1,0,0,50,0
19,4,11,4,7,1,4,1,0,0,40,0
19,4,0,4,8,2,4,1,0,0,40,0
19,4,11,4,7,3,4,1,0,0,43,0
19,0,11,4,0,3,4,1,0,0,40,0
19,0,6,4,0,2,4,0,0,0,40,0
19,4,15,4,6,3,4,1,0,0,40,0
19,4,1,4,9,1,4,0,0,0,35,0
19,2,11,4,3,2,2,0,0,0,40,0
19,4,11,4,1,1,4,0,0,0,40,0
19,4,2,4,6,3,4,1,0,0,40,0
19,4,11,4,8,1,4,1,0,0,35,0
19,4,3,4,7,2,4,1,0,0,40,0
19,4,11,4,1,3,4,1,0,0,40,0
19,4,11,4,1,3,4,0,0,0,40,0
19,0,15,4,0,3,4,1,0,0,50,0
19,4,15,3,12,3,4,0,0,1602,40,0
19,5,11,4,12,3,4,1,0,0,40,0
19,4,11,4,14,3,4,1,0,0,35,0
19,0,15,4,0,3,4,1,0,0,50,0
19,4,15,4,9,1,4,0,0,0,40,0
19,4,15,4,12,2,4,1,0,0,40,0
19,0,15,4,0,3,1,0,0,0,40,0
19,4,11,4,3,3,4,1,0,0,36,0
19,4,11,4,14,3,4,1,0,0,40,0
19,4,11,4,8,3,4,1,0,0,40,0
19,4,11,4,7,3,4,1,0,0,35,0
19,4,15,4,12,3,4,0,0,0,40,0
19,4,11,4,6,3,4,1,0,0,52,0
19,0,11,4,0,3,4,1,0,0,40,0
19,4,11,4,3,3,4,0,0,0,40,0
19,4,11,4,3,1,4,1,0,0,40,0
19,0,15,4,0,3,2,1,0,0,40,0
19,4,15,4,12,3,4,1,0,0,35,0
19,0,11,4,0,4,4,1,0,2001,40,0
19,4,11,4,1,3,4,1,0,0,40,0
19,4,15,4,8,3,4,0,0,0,40,0
19,4,11,4,13,1,2,1,0,0,40,0
19,4,0,4,6,2,4,1,0,1602,45,0
19,0,11,4,0,3,4,1,0,0,44,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,15,4,8,1,4,1,0,0,35,0
19,7,11,4,1,3,4,0,0,0,40,0
19,4,11,4,7,3,4,1,0,0,40,0
19,4,11,4,8,3,4,1,0,0,35,0
19,4,15,4,12,1,4,1,0,0,40,0
19,4,15,4,6,3,4,1,0,0,40,0
19,4,11,4,12,1,4,0,0,0,40,0
19,0,15,4,0,3,4,0,0,0,40,0
19,4,11,4,7,3,4,0,0,0,40,0
19,4,2,4,7,3,4,1,0,0,40,0
19,4,11,4,8,3,4,0,0,1721,40,0
19,4,15,4,7,1,4,1,0,0,40,0
19,4,2,4,1,3,4,1,0,0,38,0
19,4,15,4,12,3,4,1,0,0,35,0
19,1,11,1,12,5,4,0,0,0,40,0
19,4,15,1,6,5,4,0,0,0,40,0
19,6,15,4,5,3,4,1,0,0,50,0
19,4,11,4,8,2,2,1,0,0,40,0
19,4,11,4,3,1,4,1,0,0,49,0
19,0,15,4,0,3,4,0,0,0,35,0
19,0,9,4,0,3,2,0,0,0,40,0
19,0,11,4,0,4,2,0,0,0,40,0
19,4,15,4,8,2,0,1,0,0,42,0
19,4,11,0,8,1,4,0,0,0,40,0
19,4,11,4,14,3,4,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,40,0
19,4,15,4,7,1,4,0,0,0,35,0
19,4,11,4,6,2,4,1,0,0,40,0
19,0,2,2,0,2,4,0,15024,0,40,1
19,0,5,4,0,1,4,0,0,0,35,0
19,4,11,4,7,3,4,1,0,0,40,0
19,4,15,4,1,1,4,1,2176,0,35,0
19,4,15,4,3,3,4,1,594,0,40,0
19,4,11,4,10,1,4,0,4416,0,40,0
19,6,15,4,5,3,4,1,0,0,40,0
19,0,11,4,0,3,4,1,0,0,40,0
19,4,15,4,1,3,4,1,0,0,40,0
19,4,11,4,8,3,2,1,0,0,40,0
19,6,15,4,8,3,4,0,0,0,40,0
19,4,15,4,6,3,4,1,0,0,35,0
19,4,5,4,7,2,4,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,45,0
19,4,11,4,6,2,4,1,2597,0,40,0
19,4,15,4,1,3,1,0,0,0,40,0
19,5,15,4,8,3,1,0,0,0,35,0
19,4,15,4,1,3,4,0,0,0,40,0
19,4,11,4,3,3,4,1,0,0,45,0
19,2,11,4,3,3,4,1,0,0,40,0
19,0,11,4,0,3,4,1,0,0,40,0
19,4,11,4,6,1,4,1,0,0,40,0
19,4,11,4,11,2,4,1,0,0,40,0
19,4,15,4,1,1,4,0,0,0,40,0
19,0,11,4,0,3,4,1,0,0,40,0
19,0,15,4,0,3,2,0,0,0,40,0
19,4,11,4,6,1,4,0,0,0,37,0
19,4,15,4,4,3,4,0,0,0,35,0
19,4,11,4,6,3,2,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,45,0
19,4,11,4,6,3,4,1,0,0,50,0
19,4,11,4,3,3,4,1,0,0,40,0
19,4,6,2,3,0,4,1,0,0,45,0
19,4,15,4,4,3,1,1,2597,0,40,0
19,4,15,4,4,1,4,1,0,0,40,0
19,4,1,4,7,3,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,35,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,6,4,7,3,4,1,0,0,40,0
19,4,11,4,8,3,4,0,0,0,40,0
19,4,0,4,7,3,4,0,0,0,40,0
19,4,15,4,1,1,1,1,0,0,40,0
19,4,11,4,8,3,2,0,0,0,40,0
19,4,11,2,3,5,4,0,0,0,40,0
19,4,11,4,12,3,4,1,0,0,35,0
19,4,11,4,12,3,4,1,0,0,35,0
19,4,15,4,12,3,4,1,0,0,40,0
19,4,11,4,3,3,4,1,0,0,40,0
19,4,11,4,8,3,4,1,0,0,40,0
19,4,0,4,5,3,4,1,0,0,40,0
19,4,11,4,3,1,4,0,0,0,40,0
19,4,1,5,3,3,2,1,0,0,40,0
19,4,11,4,7,3,4,1,0,0,40,0
19,4,11,4,8,1,4,1,0,0,40,0
19,4,11,4,7,3,4,0,0,0,40,0
19,0,1,2,0,5,1,0,0,0,40,0
19,0,15,4,0,3,1,0,0,0,36,0
19,4,11,4,7,2,4,1,0,0,40,0
19,7,11,4,13,3,4,0,0,0,40,0
19,4,11,4,7,3,4,0,0,0,40,0
19,4,4,4,5,1,4,1,0,0,36,0
19,0,15,4,0,3,4,1,0,0,45,0
19,0,15,4,0,3,4,1,0,0,40,0
19,6,0,3,1,4,0,0,0,0,40,0
19,4,11,4,3,3,4,1,0,0,40,0
19,4,15,4,1,1,4,0,0,0,40,0
19,4,11,4,10,1,4,0,0,0,40,0
19,4,11,4,12,3,4,0,0,0,40,0
19,4,1,4,12,1,4,0,0,0,40,0
19,4,4,4,5,1,4,1,0,0,36,0
19,4,11,4,8,1,4,0,0,0,50,0
19,4,2,4,6,3,2,0,0,0,52,0
19,4,15,4,14,1,4,1,0,0,50,0
19,0,1,4,0,3,4,1,0,0,40,0
19,4,15,4,13,2,1,1,0,0,40,0
19,2,15,4,7,1,4,1,0,0,40,0
19,0,15,4,0,1,4,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,40,0
19,0,15,4,0,1,4,1,0,0,40,0
19,4,15,4,8,2,2,1,0,0,35,0
19,4,11,4,1,1,4,0,0,0,40,0
19,4,11,4,8,3,4,0,0,0,52,0
19,4,15,4,6,1,4,0,0,0,35,0
19,4,11,4,8,2,4,0,0,0,40,0
19,4,11,4,7,3,4,0,0,0,34,0
19,4,1,4,7,3,4,1,0,0,40,0
19,0,11,4,0,3,4,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,35,0
19,4,11,4,7,3,2,0,0,0,40,0
19,4,11,4,3,3,4,1,0,0,40,0
19,4,11,4,12,3,4,0,0,0,35,0
19,4,11,4,3,1,4,1,0,0,40,0
19,4,13,4,5,1,4,1,0,0,36,0
19,0,15,4,0,3,4,0,0,1602,40,0
19,4,1,4,12,3,2,0,0,0,35,0
19,4,1,4,6,1,4,1,0,0,40,0
19,4,11,4,1,2,4,0,0,0,35,0
19,4,11,4,8,3,2,0,0,0,40,0
19,4,11,4,12,3,4,1,0,0,50,0
19,4,13,4,5,1,4,1,0,0,36,0
19,4,1,4,13,3,4,1,0,0,40,0
19,4,15,4,1,3,4,0,0,0,38,0
19,4,15,4,12,3,4,0,0,0,35,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,1,4,8,1,4,1,0,0,40,0
19,4,11,4,6,3,4,1,0,0,35,0
19,4,15,4,3,3,4,0,0,0,40,0
19,0,0,4,0,1,4,0,0,0,38,0
19,4,11,2,12,0,4,1,3781,0,40,0
19,0,5,4,0,1,4,1,0,0,40,0
19,4,11,4,6,3,4,1,0,0,40,0
19,2,15,4,11,3,4,1,0,1721,35,0
19,4,11,4,12,1,4,0,0,0,40,0
19,2,15,4,8,3,2,0,0,0,35,0
19,4,11,4,8,3,4,1,0,0,40,0
19,4,11,4,10,1,4,0,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,6,11,4,3,3,4,1,0,0,40,0
19,4,15,4,12,1,4,0,0,0,40,0
19,4,11,4,6,3,4,1,0,0,40,0
19,4,11,4,1,3,4,1,0,0,40,0
19,7,15,4,10,3,4,1,0,0,40,0
19,4,11,4,8,3,2,1,0,0,40,0
19,4,11,4,1,1,4,0,0,0,40,0
19,4,11,4,12,4,4,0,0,0,40,0
19,4,15,4,6,3,4,1,0,0,50,0
19,0,0,4,0,4,4,0,0,0,35,0
19,4,8,4,1,3,2,0,0,0,40,0
19,4,1,4,8,1,4,0,0,0,40,0
19,4,15,4,10,3,4,0,0,0,40,0
19,4,11,4,12,1,4,1,0,0,50,0
19,4,11,4,1,2,4,0,0,0,40,0
19,4,5,4,8,3,4,1,0,0,33,0
19,4,11,4,12,3,2,0,0,0,35,0
19,4,6,4,8,3,4,0,0,0,50,0
19,0,11,4,0,3,4,1,0,0,40,0
19,4,11,4,13,3,4,1,0,0,40,0
19,4,11,4,6,3,4,1,0,0,40,0
19,4,11,4,7,1,4,0,0,0,40,0
19,4,11,4,3,2,4,1,0,0,35,0
19,4,11,2,3,0,4,1,0,0,40,0
19,4,15,4,8,1,4,1,0,0,35,0
19,4,5,4,8,1,4,0,0,0,40,0
19,0,15,4,0,3,4,0,0,0,40,0
19,4,15,4,6,3,4,1,0,0,40,0
19,4,11,4,8,1,4,0,0,1719,40,0
19,4,15,4,8,3,4,0,0,0,35,0
19,4,0,4,6,3,4,1,594,0,35,0
19,4,8,4,10,3,4,0,0,0,40,0
19,4,11,4,7,1,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,11,4,1,3,4,0,0,0,40,0
19,4,15,4,1,1,4,1,0,0,40,0
19,4,11,4,12,1,2,0,0,0,35,0
19,4,11,4,14,3,4,1,0,0,40,0
19,4,11,4,1,3,4,0,0,0,40,0
19,4,15,4,8,3,4,0,0,0,35,0
19,4,15,4,12,1,4,0,0,0,35,0
19,0,15,4,0,3,4,0,0,0,40,0
19,0,5,3,0,1,4,0,0,0,35,0
19,4,11,4,7,3,4,1,0,0,42,0
19,4,15,4,1,1,4,0,0,0,40,0
19,4,15,4,3,1,4,1,0,0,40,0
19,4,11,4,3,1,4,0,0,0,40,0
19,4,11,4,6,1,4,1,0,0,40,0
19,0,15,4,0,3,4,0,0,0,40,0
19,4,15,4,12,4,2,0,0,0,40,0
19,6,6,4,10,1,4,1,0,0,35,0
19,2,11,4,1,3,2,0,0,0,40,0
19,4,11,4,12,3,4,1,0,0,38,0
19,4,15,4,14,3,4,1,0,0,40,0
19,4,15,4,6,1,4,1,0,0,45,0
19,4,2,4,7,3,4,1,0,0,40,0
19,4,11,4,8,1,4,0,0,0,50,0
19,4,2,4,8,3,4,1,0,0,40,0
19,4,11,4,10,1,4,0,0,0,40,0
19,4,15,4,1,1,4,1,0,0,40,0
19,7,15,4,8,3,2,1,0,0,35,0
19,4,11,4,8,3,4,1,0,0,37,0
19,4,1,5,8,3,4,0,0,0,40,0
19,4,2,4,1,1,4,0,0,0,40,0
19,4,5,2,6,3,4,1,0,0,45,0
19,5,11,4,4,3,4,1,0,0,40,0
19,4,11,4,8,3,4,1,0,0,35,0
19,4,15,4,1,3,4,0,0,2001,40,0
19,4,11,4,8,3,4,0,0,0,35,0
19,4,11,4,5,3,4,1,0,0,40,0
19,4,15,4,1,1,4,1,0,0,40,0
19,4,11,2,3,0,4,1,0,0,35,0
19,4,7,4,4,1,4,0,0,0,50,0
19,4,0,4,12,4,4,0,0,0,40,0
19,4,15,4,8,2,4,0,0,0,40,0
19,0,11,4,0,1,2,0,0,0,40,0
19,4,0,0,8,1,4,0,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,11,4,9,1,4,0,0,0,45,0
19,0,15,4,0,2,0,0,0,0,40,0
19,4,11,4,12,1,4,1,0,0,38,0
19,4,15,4,12,3,1,1,0,0,35,0
19,4,6,4,6,3,4,0,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,0,15,4,0,3,4,1,0,0,40,0
19,4,1,4,8,3,4,0,0,0,40,0
19,4,2,4,7,2,4,1,0,0,40,0
19,4,15,4,1,4,1,0,0,0,40,0
19,4,11,4,8,3,4,1,0,0,40,0
19,4,11,4,12,1,4,1,0,0,35,0
19,4,11,4,7,1,4,1,0,0,40,0
